"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @ABSCBNNews: PRESS STOP &amp; REFLECT. These are just some things we take for granted these days. #EDSA30 #ARALngEDSA https://t.co/P1p8MxruKB",FALSE,0,NA,2017-04-26 16:20:30,FALSE,NA,"857268155529519105",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tofikfhklents",493,TRUE,FALSE,NA,NA
"2","Watching helicopters in formation over EDSA #planes #edsa30 #military was interesting! https://t.co/t6ysKzGDUX",FALSE,0,NA,2017-04-19 14:26:20,FALSE,NA,"854702709064081409",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","PaddysPUBMan",0,FALSE,FALSE,NA,NA
