"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Maute plans to raise ISIS flags at Lanao capitol, Marawi city hall to declare 'wilayat' https://t.co/lFUzX8RgHH",FALSE,0,NA,2017-05-27 23:59:49,FALSE,NA,"868617769750745088",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","petlove2",0,FALSE,FALSE,NA,NA
"RT @chiarazambrano: Waiting for his parents, leaving Marawi. In a city beseiged by the black flag of ISIS, people now bank on the white fla…",FALSE,0,NA,2017-05-27 23:59:12,FALSE,NA,"868617616318808064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kevinalec",423,TRUE,FALSE,NA,NA
"#Duterte on May 23 instituted #MartialLaw &amp; on 27th told troops to rape as tactic of war. @inquirerdotnet says its… https://t.co/htq6s4LZpH",FALSE,3,NA,2017-05-27 23:58:49,TRUE,NA,"868617521661857792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RapeIsNoJoke",0,FALSE,FALSE,NA,NA
"RT @NBCNews: Why martial law reigns after rebels took hostages in a Philippine city https://t.co/EYd3chBE5Z https://t.co/RnTFB5r2Tb",FALSE,0,NA,2017-05-27 23:58:39,FALSE,NA,"868617477571227648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cicima04",35,TRUE,FALSE,NA,NA
"RT @UST_CSC: Thomasians, you can donate cash to our brothers and sisters afflicted in Marawi City through the following ways: #PrayForMaraw…",FALSE,0,NA,2017-05-27 23:58:16,FALSE,NA,"868617379797913600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xavier_alvaran",141,TRUE,FALSE,NA,NA
"RT @citizen_lumad: Our polity will always have the likes of Duterte or Marcos because we'll always have the same people who will kneel, bow…",FALSE,0,NA,2017-05-27 23:58:11,FALSE,NA,"868617362194313216",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ELiddell5",12,TRUE,FALSE,NA,NA
"RT @cnnphilippines: More Marawi residents seek refuge in Iligan City https://t.co/ihKgMJzFdQ",FALSE,0,NA,2017-05-27 23:57:48,FALSE,NA,"868617262160150528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pelicanmemo",26,TRUE,FALSE,NA,NA
"Padilla: Sisikapin namin na ma-clear na ang ang Marawi city laban sa mga teroristang grupo",FALSE,0,"dwiz882",2017-05-27 23:57:32,FALSE,"868616881061494784","868617197458907136","173533146","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dwiz882",0,FALSE,FALSE,NA,NA
"RT @JPY_Kurdish: Marawi, Philippines:  <U+2192> The first day of #Ramadan, 9 Christians executed by Muslim Jihadis who aim to transform Mindanao i…",FALSE,0,NA,2017-05-27 23:57:29,FALSE,NA,"868617183752052736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Wolfgang1947",186,TRUE,FALSE,NA,NA
"RT @UST_CSC: Thomasians, you can donate cash to our brothers and sisters afflicted in Marawi City through the following ways: #PrayForMaraw…",FALSE,0,NA,2017-05-27 23:57:28,FALSE,NA,"868617180065050624",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RhetaGalut",141,TRUE,FALSE,NA,NA
"RT @cnnphilippines: Exclusive: One of the escapees from Marawi City Jail arrested at a checkpoint in Iligan City | @ruthcabal15 https://t.c…",FALSE,0,NA,2017-05-27 23:56:43,FALSE,NA,"868616992370040832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pelicanmemo",46,TRUE,FALSE,NA,NA
"RT @AWAKEALERT: ISIS attacks #Marawi city in #Philippines the day #Duterte visits Russia
<U+25BA>#WashingtonPost #FakeNews calls the foreign merce…",FALSE,0,NA,2017-05-27 23:55:05,FALSE,NA,"868616581148024832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IamAwake2017",39,TRUE,FALSE,NA,NA
"More air strikes in Marawi https://t.co/QabbhahW2k via @manila_bulletin
is that a new marcos time?",FALSE,0,NA,2017-05-27 23:54:40,FALSE,NA,"868616477439442945",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","charlykappel",0,FALSE,FALSE,NA,NA
