"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Let's help our fellow Filipinos who have been affected by the crossfire in Marawi City. #StandWithMarawi https://t.co/b7l7LNrfxe",FALSE,4278,NA,2017-05-24 01:10:55,FALSE,NA,"867186111952560128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VPPilipinas",4344,FALSE,FALSE,NA,NA
"How different is martial law then from martial law now? https://t.co/YCHkcblnUS https://t.co/3mu9wVFqxj",FALSE,2427,NA,2017-05-24 14:04:30,FALSE,NA,"867380789389938689",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","cnnphilippines",2048,FALSE,FALSE,NA,NA
"Duterte to Filipinos: Do not be too scared, I'm going home https://t.co/YCHkcblnUS https://t.co/aGKj4oSyyH",FALSE,1295,"cnnphilippines",2017-05-24 00:05:07,FALSE,"867169353736699904","867169553423319040","2811559122","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","cnnphilippines",905,FALSE,FALSE,NA,NA
"The Philippines declared a state of emergency in Mindanao island as hundreds of separatist rebels lay siege on Mara… https://t.co/l3vOx4EYyC",FALSE,796,NA,2017-05-24 16:58:40,TRUE,NA,"867424623595372545",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","ajplus",1043,FALSE,FALSE,NA,NA
"I send my sincere well-wishes &amp; prayers to our kababayans in Marawi city at sa buong Mindanao. sana po'y ligtas kayo <ed><U+00A0><U+00BD><ed><U+00B2><U+0094>#PrayforMarawiCity",FALSE,4236,NA,2017-05-24 08:51:55,FALSE,NA,"867302126443053056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","143redangel",920,FALSE,FALSE,NA,NA
"Let us pray for peace over Marawi, Mindanao, and our nation. Together, let's declare that God's righteousness reign… https://t.co/RXw27ErAAN",FALSE,1058,NA,2017-05-24 03:35:28,TRUE,NA,"867222491084836865",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","victoryph",849,FALSE,FALSE,NA,NA
"LOOK: Residents of Marawi City start to evacuate. Photos from DSWD | via @pattypasion #MarawiClash #rstream https://t.co/mRkxiueYPH",FALSE,630,NA,2017-05-24 06:23:34,FALSE,NA,"867264794583212033",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","rapplerdotcom",526,FALSE,FALSE,NA,NA
"‘I won’t accept this kind of s**t’: #Duterte vows to destroy #ISIS in Mindanao https://t.co/sLXruCNGzx",FALSE,428,NA,2017-05-24 14:40:46,FALSE,NA,"867389916300423168",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT_com",308,FALSE,FALSE,NA,NA
"In an interview shortly before Pres. Duterte left Russia for PHL, he also assured Filipinos: ""Don't be too scared.""… https://t.co/bgmVRJiW8Q",FALSE,724,NA,2017-05-24 07:40:42,TRUE,NA,"867284204853145600",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","gmanews",319,FALSE,FALSE,NA,NA
"Philippine President Rodrigo Duterte declares martial law across Mindanao, after deadly clashes between security fo… https://t.co/1IbeXHFDWT",FALSE,179,NA,2017-05-24 09:20:06,TRUE,NA,"867309220382752769",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","AFP",265,FALSE,FALSE,NA,NA
