"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"TERRORISTS IN MARAWI, MINDANAO UNDER MARTIAL LAW, AND NOW AN EARTHQUAKE THAT SHOOKT EVEN THE MOST DEDMA. TALAGANG NABUNOT ANG <ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00AD> SA RAFFLE.",FALSE,13306,NA,2017-05-25 14:37:17,FALSE,NA,"867751428671942656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IrishDDizon",4713,FALSE,FALSE,NA,NA
"At least 21 people have died since fighting erupted late Tuesday in the besieged southern Philippine city of Marawi… https://t.co/TGW1fARN1w",FALSE,251,NA,2017-05-25 11:39:05,TRUE,NA,"867706585413369857",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","ABC",406,FALSE,FALSE,NA,NA
"And so it begins: Arrested just because they didn't have ID.

#MartialLaw #Duterte  https://t.co/gwYg5IeE7O",FALSE,219,NA,2017-05-25 06:36:01,FALSE,NA,"867630313840693248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","condeHRW",310,FALSE,FALSE,NA,NA
"LOOK: President Duterte signs Proclamation No. 216, declaring martial law and suspending privilege of writ of habea… https://t.co/Ct9PBvwSno",FALSE,468,NA,2017-05-25 04:22:44,TRUE,NA,"867596771815440384",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","cnnphilippines",297,FALSE,FALSE,NA,NA
"Learn more about Maute Group whose clashes with the military in Marawi City prompted President Duterte to declare m… https://t.co/VefhUMyZN3",FALSE,92,NA,2017-05-25 00:47:19,TRUE,NA,"867542559542751233",NA,"<a href=""http://snappytv.com"" rel=""nofollow"">SnappyTV.com</a>","cnnphilippines",158,FALSE,FALSE,NA,NA
"Fighting starts in Marawi City | @inqmindanao #PrayForMarawi #Mindanao https://t.co/Xxx2mdjYAv",FALSE,106,NA,2017-05-25 01:54:22,FALSE,NA,"867559434658172929",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","inquirerdotnet",174,FALSE,FALSE,NA,NA
"Duterte: ""Spare No One"" to save Mindanao from ISIS https://t.co/cDqY72V9Bx https://t.co/WLZzninlni",FALSE,300,NA,2017-05-25 03:06:47,FALSE,NA,"867577660960067584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JackPosobiec",222,FALSE,FALSE,NA,NA
"Malaysia condemns the attack on Marawi City by groups linked to Daesh tht led to casualties of government forces &amp; displacement of civilians",FALSE,416,NA,2017-05-25 10:32:37,FALSE,NA,"867689855290982409",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NajibRazak",175,FALSE,FALSE,NA,NA
"Philippine troops battle Islamist militants, who are holding Catholic hostages, in southern city of Marawi… https://t.co/d6IiQhPppY",FALSE,37,NA,2017-05-25 06:27:13,TRUE,NA,"867628102280552450",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AFP",100,FALSE,FALSE,NA,NA
"Philippine troops try to retake city stormed by ISIS allies; at least 21 have died in fighting since late Tuesday… https://t.co/wzwN5aIxZE",FALSE,59,NA,2017-05-25 12:10:01,TRUE,NA,"867714369081266176",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","CBSNews",79,FALSE,FALSE,NA,NA
"6 soldiers died today in the battle for Marawi City. | via @chiarazambrano https://t.co/B4BImXlbcO",FALSE,208,NA,2017-05-25 10:02:16,FALSE,NA,"867682219665444864",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ABSCBNNews",93,FALSE,FALSE,NA,NA
"NOW: Thomasians gather for vigil and candle-lighting ceremony at the Plaza Mayor led by CSC in light of the recent… https://t.co/I9ZxqWuPZr",FALSE,438,NA,2017-05-25 10:41:05,TRUE,NA,"867691986106568704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","varsitarianust",95,FALSE,FALSE,NA,NA
"Philippines: Twice as many executed in 11 months under President Duterte compared to a decade under dictator Marcos… https://t.co/5uVTPbZLzT",FALSE,63,NA,2017-05-25 21:15:13,TRUE,NA,"867851574273392640",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","jimmurphySF",85,FALSE,FALSE,NA,NA
"‘I will be harsh and harsh in enforcing law’: Duterte vows to destroy ISIS-linked group in Mindanao… https://t.co/F3kztl906M",FALSE,157,NA,2017-05-25 02:00:00,TRUE,NA,"867560854283276288",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT_com",96,FALSE,FALSE,NA,NA
"Thousands flee as ISIS-linked militants besiege Philippine city of Marawi https://t.co/is4qfKV1Jj",FALSE,88,NA,2017-05-25 07:12:17,FALSE,NA,"867639439635435520",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","TIME",109,FALSE,FALSE,NA,NA
"My commentary on the proclamation of martial law in Mindanao. https://t.co/vpLk351by5",FALSE,27,NA,2017-05-25 00:30:19,FALSE,NA,"867538283395506177",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","mlq3",22,FALSE,FALSE,NA,NA
