"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Thousands flee from fighting in Philippines city Marawi as Pres. Duterte declares martial law… https://t.co/IC3QPg1FWY",FALSE,83,NA,2017-05-27 22:30:00,TRUE,NA,"868595169758552064",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","CGTNOfficial",43,FALSE,FALSE,NA,NA
"Duterte steps up bombing raids on ISIS-held city while communists vow to increase attacks on president's men https://t.co/IHAvSLhcHt",FALSE,27,NA,2017-05-27 23:17:04,FALSE,NA,"868607012904546308",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","MailOnline",57,FALSE,FALSE,NA,NA
"Duterte makes comment about rape in speech urging soldiers to use martial law powers in fight for besieged city… https://t.co/S5r3c2Qnxd",FALSE,54,NA,2017-05-27 17:07:22,TRUE,NA,"868513975843074048",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","ABC",67,FALSE,FALSE,NA,NA
"‘Guided rockets’ used during op targeting ISIS-linked militants in besieged Philippines city https://t.co/O5NZm0yWcB https://t.co/SrH0vIeDHw",FALSE,81,NA,2017-05-27 16:05:01,FALSE,NA,"868498282464428033",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT_com",104,FALSE,FALSE,NA,NA
"Maute plans to raise ISIS flags at Lanao capitol, Marawi city hall to declare 'wilayat' https://t.co/zIUGcJ1dyN https://t.co/aLQEChgy6J",FALSE,29,NA,2017-05-27 15:11:00,FALSE,NA,"868484692412166144",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","gmanews",17,FALSE,FALSE,NA,NA
"Plano raw ng Maute group na magtaas ng watawat ng ISIS sa kapitolyo at sa Marawi City para makakuha ng suporta. |… https://t.co/lCB6DQIVe2",FALSE,36,NA,2017-05-27 13:51:06,TRUE,NA,"868464583739973632",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","gmanews",25,FALSE,FALSE,NA,NA
"Security forces dropped more bombs Saturday on Marawi City where they have been battling militants for 5 days. https://t.co/ZtIVc4auLo",FALSE,61,NA,2017-05-27 08:21:00,FALSE,NA,"868381510025523201",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","gmanews",38,FALSE,FALSE,NA,NA
"As thousands continue to flee the fighting in Marawi, our team has delivered water and other essential aid:… https://t.co/hsJEVudv84",FALSE,49,NA,2017-05-27 12:00:43,TRUE,NA,"868436803023450112",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ICRC",26,FALSE,FALSE,NA,NA
"Police officer: The Maute group is using child warriors as young as 10 years old. https://t.co/jW8PCNV5wU",FALSE,31,NA,2017-05-27 13:41:01,FALSE,NA,"868462043724120065",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","gmanews",22,FALSE,FALSE,NA,NA
"WATCH: Policemen patrol a street in Marawi City | via @EdSevidalDZMM https://t.co/iLMNE6OJ5g",FALSE,40,NA,2017-05-27 12:42:46,FALSE,NA,"868447385223122944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ANCALERTS",29,FALSE,FALSE,NA,NA
